question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
What are the pre-conditions for estimating the energy consumption of VNF/VNFCs? [3GPP Release 18],Presence of embedded sensors in NFVI nodes,Presence of external sensors in NFVI nodes,Knowledge of which NFVI nodes the VNF/VNFC instances run on,Low energy consumption of VNF/VNFC instances,option 3: Knowledge of which NFVI nodes the VNF/VNFC instances run on,The pre-conditions for estimating the energy consumption of VNF/VNFCs are the presence of a Management Function in charge of estimating the energy consumption of VNFs and knowledge of which NFVI nodes the VNF/VNFC instances run on.,Standards specifications,
What aspects of the Disaster Roaming service are specified in TS 22.011 and TS 22.261? [3GPP Release 17],Disaster Condition configuration procedures.,Disaster Roaming service registration procedures.,System information extensions for MINT.,Network selection procedures.,option 5: Service requirements for the 5G system.,The service requirements for the 5G system are specified in TS 22.011 and TS 22.261.,Standards overview,Service requirements for the 5G system.
What is the purpose of the control plane protocol for the N4 interface between the SMF and UPF? [3GPP Release 18],To manage NAS transport procedures,To manage user plane PDU Session establishment,To manage Registration Management and Connection Management state machines,To manage session management between the UE and the SMF,option 5: To manage the connection between the SMF and the UPF,The control plane protocol for the N4 interface between the SMF and UPF is used to manage the connection between these two network functions.,Standards specifications,To manage the connection between the SMF and the UPF
Which frequency range should the channel model support? [3GPP Release 18],Up to 2 GHz,Up to 6 GHz,Up to 10 GHz,Up to 50 GHz,option 5: Up to 100 GHz,The channel model should support a frequency range of up to 100 GHz.,Standards specifications,Up to 100 GHz
What is the purpose of recoverySearchSpaceId? [3GPP Release 17],To provide a configuration for PRACH transmission.,To monitor PDCCH for detection of a DCI format.,To indicate the presence of SSB-MTCAdditionalPCI.,To link a search space set for monitoring PDCCH in a CORESET.,option 4: To link a search space set for monitoring PDCCH in a CORESET.,The recoverySearchSpaceId is used to link a search space set for monitoring PDCCH in a CORESET.,Standards specifications,
Which reference point supports interaction between a CTF and a CDF? [3GPP Release 18],Bx,Gz,Ga,Rf,option 4: Rf,The Rf reference point supports interaction between a CTF and a CDF.,Standards specifications,Gzn
What is the primary purpose of MPS for MMTEL voice? [3GPP Release 18],To provide priority access to enterprise networks in periods of severe network congestion,To provide priority video communication sessions in periods of severe network congestion,To provide priority data transport service in periods of severe network congestion,To provide priority voice communication sessions in periods of severe network congestion,option 4: To provide priority voice communication sessions in periods of severe network congestion,MPS for MMTEL voice provides the Service User with priority voice communication sessions in periods of severe network congestion during which normal commercial voice service is degraded.,Standards specifications,
How does the UE report its 3GPP PS Data Off status? [3GPP Release 18],Through the PDU Session Establishment procedure.,Through the inter-RAT mobility to NG-RAN.,Through the inter-LADN mobility.,Through the ATSSS feature.,option 1: Through the PDU Session Establishment procedure.,The UE reports its 3GPP PS Data Off status in PCO during the UE requested PDU Session Establishment procedure.,Standards specifications,
Which penetration loss model is applicable to UMa and UMi-Street Canyon scenarios? [3GPP Release 17],Low-loss model,High-loss model,Both low-loss and high-loss models,No penetration loss model,option 3: Both low-loss and high-loss models,Both low-loss and high-loss models are applicable to UMa and UMi-Street Canyon scenarios.,Standards specifications,
How is the RB set for the PUSCH transmission determined when using RB set allocation? [3GPP Release 17],By the number of RBs in the initial UL BWP,By the frequency hopping flag,By the RB set of the PRACH transmission,By the number of repetitions for the PUSCH transmission,option 3: By the RB set of the PRACH transmission,"For RB set allocation of a PUSCH transmission, the RB set of the active UL BWP is the RB set of the PRACH transmission associated with the RAR UL grant.",Standards specifications,
"What does a '0' value for the Wake-up indication bit, when reported to higher layers, indicate? [3GPP Release 17]",To start the drx-onDurationTimer for the next long DRX cycle.,To not start the drx-onDurationTimer for the next long DRX cycle.,To activate the dormantBWP-Id for the UE.,To activate the firstOutsideActiveTimeBWP-Id for the UE.,option 2: To not start the drx-onDurationTimer for the next long DRX cycle.,A '0' value for the Wake-up indication bit indicates to not start the drx-onDurationTimer for the next long DRX cycle.,Standards specifications,
What does the NWDAF derive when the Analytics target period is in the future? [3GPP Release 18],QoS change statistics,QoS requirements,Predictions for potential QoS changes,Location information,option 3: Predictions for potential QoS changes,"When the Analytics target period is in the future, the NWDAF detects the need for notification about a potential QoS change based on comparing the expected values for the KPI of the target 5QI against the Reporting Threshold(s) and provides predictions for potential QoS changes in the response or notification on 'QoS Sustainability'.",Standards specifications,UE device and context information
What is the purpose of the Provision of potential TRS/CSI-RS occasion(s) to idle/inactive-mode UEs? [3GPP Release 17],To reduce UE power consumption during data scheduling,To reduce UE power consumption for PDCCH monitoring,To reduce UE power consumption for RLM and/or BFD measurements,To reduce UE power consumption for synchronization,option 4: To reduce UE power consumption for synchronization,The purpose of providing TRS/CSI-RS occasions to idle/inactive-mode UEs is to reduce UE power consumption for synchronization.,Standards overview,To reduce UE power consumption during subframe transmission
What can a Target UE subscription profile specify? [3GPP Release 17],Location Quality of Service (QoS) requirements,Location information in a standard format,Location service components and bearers,External user entities connected to the LCS Client,option 1: Location Quality of Service (QoS) requirements,"A Target UE subscription profile can specify the particular LCS-related restrictions associated with each Target UE, including location Quality of Service (QoS) requirements.",Standards specifications,Positioning parameters for the Positioning function
What is a Premises Radio Access Station (PRAS)? [3GPP Release 17],"A network located within a residence, office or shop that provides connectivity to the 5G network.","A network owned, installed, and configured by a public network operator.",A network that consists of PIN Elements and communicates using PIN Direct Connection.,A base station installed in a CPN for UEs to access the CPN and/or 5G network services.,option 4: A base station installed in a CPN for UEs to access the CPN and/or 5G network services.,A Premises Radio Access Station (PRAS) is described as a base station installed in a CPN through which UEs can get access to the CPN and/or 5G network services.,Standards specifications,A PIN Element that provides a means for an authorized administrator to configure and manage a PIN.
What is the purpose of the SCP (Service Communication Proxy) in the Service-Based Architecture? [3GPP Release 16],To enable indirect communication between NF and NF Services,To facilitate communication between the HSS and the UDR,To provide service-based interfaces for interactions between 5GC and IMS,To enable 5G migration towards the UDM/UDR architecture,option 1: To enable indirect communication between NF and NF Services,The SCP enables the indirect communication between NF and NF Services in the Service-Based Architecture.,Standards overview,
How is the time reference provided to users broadcasted in LTE? [3GPP Release 18],Via a dedicated RRC signalling,Using the GPS/UTC time format,Via SIB16,Through a synchronization channel,option 3: Via SIB16,The time reference provided to users is broadcasted in LTE via SystemInformationBlockType16 (SIB16).,Standards specifications,
What is the main characteristic of the 5GC architecture? [3GPP Release 15],Deeper use of Network Slicing,Mobile Edge Computing,Network Capability Exposure,Service-Based Architecture,option 4: Service-Based Architecture,"The 5GC architecture relies on a Service-Based Architecture (SBA) framework, where the architecture elements are defined in terms of Network Functions (NFs).",Standards overview,
What is the purpose of the PDCCH-based power saving signal/channel for wake-up purpose? [3GPP Release 16],To provide assistance information to the network,To skip the PDCCH during the next occurrence of the drx-onDurationTimer,To indicate UE preference of transitioning out of RRC_CONNECTED state,To reduce PDCCH monitoring on activated SCells,option 5: To monitor the PDCCH during the next occurrence of the drx-onDurationTimer,The PDCCH-based power saving signal/channel for wake-up purpose is used to indicate the UE to wake up and monitor the PDCCH during the next occurrence of the drx-onDurationTimer.,Standards specifications,To monitor the PDCCH during the next occurrence of the drx-onDurationTimer
Which of the following functions are included in the mobility functions of the RRC sublayer? [3GPP Release 18],Handover and context transfer,UE cell selection and reselection,Control of cell selection and reselection,Inter-RAT mobility,option 5: All of the above,"The mobility functions of the RRC sublayer include handover and context transfer, UE cell selection and reselection, control of cell selection and reselection, and inter-RAT mobility.",Standards specifications,All of the above
Which keys are derived from KgNB for the protection of UP traffic between ME and gNB? [3GPP Release 18],KNASint and KNASenc,KUPint and KUPenc,KRRCint and KRRCenc,KgNB and NH,option 2: KUPint and KUPenc,Keys KUPint and KUPenc are derived from KgNB for the protection of UP traffic between ME and gNB.,Standards specifications,NH and KAMF
What is the purpose of MDT data collection? [3GPP Release 18],To optimize resource usage in the RAN,To capture user consent related to privacy,To provide performance measurements on the Shared E-UTRAN/NG-RAN,To improve signal strength for UEs,option 3: To provide performance measurements on the Shared E-UTRAN/NG-RAN,MDT data from a Participating Operator's customer UEs allow the Hosting E-UTRAN/NG-RAN Operator to be provided with performance measurements on his Shared E-UTRAN/NG-RAN.,Standards specifications,
What physical layer measurement quantity can be used for sidelink? [3GPP Release 17],RSRP,RSRQ,RSSI,CQI,option 3: RSSI,Sidelink received signal strength indicator (SL RSSI) can be used as a measurement quantity for sidelink.,Standards specifications,UL SINR
Which identity is used for Semi-Persistent Scheduling in the downlink or configured grant in the uplink? [3GPP Release 17],C-RNTI,CI-RNTI,CS-RNTI,INT-RNTI,option 3: CS-RNTI,CS-RNTI is used for Semi-Persistent Scheduling in the downlink or configured grant in the uplink.,Standards specifications,P-RNTI
What type of bearer is used for IMS Signalling and IMS voice in the NSA architecture? [3GPP Release 15],Master Cell Group bearer,Secondary Cell Group bearer,Split bearer,Primary Cell Group bearer,option 2: Secondary Cell Group bearer,IMS Signalling and IMS voice in the NSA architecture use Secondary Cell Group bearers.,Standards overview,None of the above
What is the maximum value for the false alarm probability for PRACH detection? [3GPP Release 18],0.1%,1%,5%,10%,option 1: 0.1%,The false alarm probability for PRACH detection shall be less than or equal to 0.1%.,Standards specifications,
What are the MuD and MiD services used for? [3GPP Release 16],To allow another user to use one or more of its identities,To support the increasing number of smart devices with call capabilities,To distribute calls to any member of a group or firm,To provide a consistent user experience for multi-device and multi-identity use cases,option 4: To provide a consistent user experience for multi-device and multi-identity use cases,The MuD and MiD services are used to provide a consistent user experience for multi-device and multi-identity use cases.,Standards overview,To realize IMS enhancement for Multi-device and multi-identity
Which performance criterion is used to minimize cell congestion in the Evolved Packet System? [3GPP Release 17],Reduced network complexity,Steering of roaming methods,Mixed traffic support,Enhanced load balancing,option 4: Enhanced load balancing,"The system shall be capable of supporting large volumes of mixed e.g. voice, data and multimedia traffic. Enhanced load balancing and steering of roaming methods should be used to minimize cell congestion.",Standards specifications,
What does the UE do when 3GPP PS Data Off is activated? [3GPP Release 18],Informs the network that 3GPP PS Data Off is activated,Ceases the sending of uplink IP Packets of all services,Ceases the sending of uplink traffic over non-IP PDN types,All of the above,option 4: All of the above,"When 3GPP PS Data Off is activated in the UE, it informs the network, ceases the sending of uplink IP Packets of all services, and ceases the sending of uplink traffic over non-IP PDN types.",Standards specifications,
What does SL DRX stand for in the context of NR Sidelink? [3GPP Release 17],Sidelink Directional Resource Control,Sidelink Data Retransmission and Retransmission Timer,Sidelink Dynamic Radio Connection,Sidelink Discontinuous Reception,option 4: Sidelink Discontinuous Reception,SL DRX stands for Sidelink Discontinuous Reception in the context of NR Sidelink.,Standards overview,Sidelink Distributed Resource Allocation
How can RF (radio frequency) interference between aerial and ground users be minimized in the 3GPP network?,Using multiple antennas and beamforming,Using open loop and closed loop power control,"Using new scheduling, admission, and congestion control mechanisms",All of the above,option 4: All of the above,"RF interference between aerial and ground users can be minimized by using multiple antennas and beamforming, open loop and closed loop power control, and new scheduling, admission, and congestion control mechanisms.",Standards overview,None of the above
What type of information is transferred in the TL-Container? [3GPP Release 18],InterfaceConfiguration,EndStationInterfaces,Buffer capability,All of the above,option 4: All of the above,"The TL-Container can transfer InterfaceConfiguration, EndStationInterfaces, and Buffer capability information between the SMF/CUC and AN-TL or CN-TL.",Standards specifications,
What is the purpose of the work item related to group based enhancements in the network capability exposure functions? [3GPP Release 14],To reduce the signaling burden in handling a high number of UEs,To improve operator control using new UE configuration parameters,"To specify the management concepts, architecture, requirements and procedures for CM, FM, PM, LCM",To enable cross-operator accounting based on consumed data volume,option 1: To reduce the signaling burden in handling a high number of UEs,"The work item related to group based enhancements in the network capability exposure functions aims to reduce the signaling burden when dealing with a high number of UEs, such as IoT devices.",Standards specifications,
Which error sources are studied for timing-based positioning methods? [3GPP Release 18],TRP/UE measurements errors.,Error in assistance data.,TRP/UE Timing error.,All of the above.,option 4: All of the above.,"The error sources studied for timing-based positioning methods include TRP/UE measurements errors, error in assistance data, and TRP/UE timing error.",Standards specifications,None of the above.
What is the responsibility of the NG-RAN regarding the maximum UP integrity protection data rate? [3GPP Release 18],To negotiate the maximum data rate with the UE,To inform the SMF if the maximum data rate is exceeded,To strictly enforce the maximum data rate,To reject the establishment of UP resources if it cannot support the maximum data rate,option 3: To strictly enforce the maximum data rate,It is the responsibility of the NG-RAN to enforce that the maximum UP integrity protection data rate delivered to the UE in the downlink does not exceed the maximum supported data rate for integrity protection.,Standards specifications,To adjust the maximum data rate based on network congestion
How is the SCG of the UE suspended in RRC_INACTIVE state? [3GPP Release 17],The CU of SN sends the UE CONTEXT RELEASE COMMAND,The CU of SN sends the UE CONTEXT MODIFICATION RESPONSE,The DU of SN sends the UE CONTEXT MODIFICATION RESPONSE,The CU of SN sends the UE CONTEXT MODIFICATION REQUEST,option 5: The DU of SN sends the UE CONTEXT MODIFICATION REQUEST,The CU of SN sends the UE CONTEXT MODIFICATION REQUEST message to the DU of SN to suspend the SCG of the UE.,Standards specifications,The DU of SN sends the UE CONTEXT MODIFICATION REQUEST
What is Non-Seamless WLAN offload (NSWO) in the context of 5GS? [3GPP Release 17],A network function that supports authentication for NSWO,A capability of a UE to route specific IP flows via WLAN access,A service-based interface for NSWO authentication,A configuration for NSWO roaming,option 2: A capability of a UE to route specific IP flows via WLAN access,"NSWO is an optional capability of a UE supporting WLAN radio access, allowing it to route specific IP flows via WLAN access without going through the 3GPP core network.",Standards overview,
What type of measurements does the Performance Measurement Function (PMF) support for ATSSS-LL functionality? [3GPP Release 16],Latency measurements,Quality of Service (QoS) measurements,Throughput measurements,Availability measurements,option 5: Round Trip Time (RTT) measurements,The document mentions that the PMF supports RTT measurements per access when the 'Smallest Delay' steering mode is used to assist access selection.,Standards overview,Round Trip Time (RTT) measurements
Which IE includes the sidelink pre-configured parameters used for NR sidelink communication? [3GPP Release 17],SL-PreconfigurationNR,SL-TxProfile-r17,SL-AccessInfo-L2U2N-r17,SL-RoHC-Profiles-r16,option 1: SL-PreconfigurationNR,The IE SL-PreconfigurationNR includes the sidelink pre-configured parameters used for NR sidelink communication.,Standards specifications,
What authentication method does the 5G system support for legacy non-3GPP devices accessing a 5G LAN-VN? [3GPP Release 17],Biometrics,Alternative authentication methods,3GPP credentials,Non-3GPP identities and credentials,option 3: 3GPP credentials,The 5G system supports authentication of legacy non-3GPP devices for 5G LAN-VN access using 3GPP credentials.,Standards specifications,EAP framework
What does the Work Item for eMBMS enhancements address? [3GPP Release 14],Mobile network interface for MBMS delivery,System architecture enhancements for TV service,Improved streaming QoE reporting,Media handling aspects of multi-stream multiparty conferencing,option 2: System architecture enhancements for TV service,The eMBMS enhancements Work Item addresses the requirements of TV broadcasters to make the 3GPP broadcast and unicast platforms better suited for distributing TV content.,Standards specifications,
What is the purpose of N4 session management procedures? [3GPP Release 18],To control the functionality of the SMF,To control the functionality of the UPF,To establish N4 sessions between the SMF and UPF,To report events from the UPF to the SMF,option 2: To control the functionality of the UPF,N4 session management procedures are used to control the functionality of the UPF.,Standards specifications,To release N4 session contexts in the UPF
What are the power components recommended to be considered for RRM measurement power saving evaluation in the CONNECTED state? [3GPP Release 16],Sleep,PDCCH-only monitoring during active time,SSB measurement,Neighboring cell search,"option 5: Loop convergence (AGC, TTL & FTL) / time-frequency tracking","Loop convergence (AGC, TTL & FTL) / time-frequency tracking are the recommended power components to be considered in the CONNECTED state.",Standards specifications,"Loop convergence (AGC, TTL & FTL) / time-frequency tracking"
When are the 3GPP Data Off Exempt Services enforced in the IMS domain? [3GPP Release 18],When the non-Allowed Area reporting procedure is initiated.,During inter-LADN mobility procedures.,During the ATSSS Control procedure.,When the 3GPP Data Off status of the UE is set to 'activated'.,option 4: When the 3GPP Data Off status of the UE is set to 'activated'.,"For the IMS services, the 3GPP Data Off Exempt Services are enforced in the IMS domain when the 3GPP Data Off status of the UE is set to 'activated'.",Standards specifications,
Which entities are dedicated for interworking between 5GS and EPC? [3GPP Release 18],PGW and SMF/UPF,UPF and PGW-U,PGW-C and SMF,SMF and UPF,option 2: UPF and PGW-U,"UPF and PGW-U are dedicated for interworking between 5GS and EPC, based on UE MM Core Network Capability and UE subscription.",Standards specifications,
What does the feature 'Enhancements to LTE operation in unlicensed spectrum' enable? [3GPP Release 15],QoS differentiation for better user experience,Extended reach of the ProSe framework,Integration of selected WLAN direct discovery technologies,Efficient use of UL resources on unlicensed spectrum,option 4: Efficient use of UL resources on unlicensed spectrum,The feature 'Enhancements to LTE operation in unlicensed spectrum' enables more efficient use of UL resources on unlicensed spectrum.,Standards overview,
What is the maximum tolerable packet loss rate for reliability of V2X application messages? [3GPP Release 17],10%,5%,3%,1%,option 4: 1%,The document states that the maximum tolerable packet loss rate for reliability of V2X application messages should not exceed 1%.,Standards specifications,
What is the function of the Home Subscriber Server (HSS)? [3GPP Release 17],To provide support to the call control servers.,To hold user identification and numbering information.,To generate user security information.,To support the authentication procedures.,option 1: To provide support to the call control servers.,The HSS provides support to the call control servers in order to complete the routing/roaming procedures.,Standards specifications,To provide access to service profile data.
What should a 5G Visited Mobile Network have in order to allow a UE with a 5G subscription to roam into it? [3GPP Release 17],A roaming agreement with the UE's 5G Home Mobile Network,Support for establishing home network,Support for services provided in the home network,Access to a partnership network,option 1: A roaming agreement with the UE's 5G Home Mobile Network,A 5G Visited Mobile Network should have a roaming agreement with the UE's 5G Home Mobile Network to allow the UE to roam into it.,Standards specifications,
What is the definition of in-channel selectivity (ICS)? [3GPP Release 18],The measure of the receiver's ability to receive a wanted signal in the presence of an interfering signal in the received SAN channel bandwidth.,The measure of the receiver's ability to receive the wanted signal at its assigned channel frequency in the presence of an adjacent channel signal.,The measure of the receiver's ability to receive the wanted signal at its assigned resource block locations in the presence of an interfering signal at a larger power spectral density.,The measure of the receiver's ability to receive a wanted signal in the presence of a spurious emission.,option 3: The measure of the receiver's ability to receive the wanted signal at its assigned resource block locations in the presence of an interfering signal at a larger power spectral density.,The document defines in-channel selectivity (ICS) as a measure of the receiver's ability to receive the wanted signal at its assigned resource block locations in the presence of an interfering signal at a larger power spectral density.,Standards specifications,The measure of the receiver's ability to receive a wanted signal in the presence of an unwanted interferer out of the operating band.
What is the relative increase in free space path loss from 43.5 GHz to 48.2 GHz? [3GPP Release 18],0.33 dB,0.9 dB,3.5 dB,7.7 dB,option 2: 0.9 dB,The relative increase in free space path loss from 43.5 GHz to 48.2 GHz is 0.9 dB.,Standards specifications,
What location information can be provided in the request for QoS Sustainability analytics? [3GPP Release 18],Area Of Interest in coarse granularity,Area Of Interest in fine granularity,Path of Interest in coarse granularity,Path of Interest in fine granularity,option 5: Both Area Of Interest in coarse granularity and Path of Interest in fine granularity,"The location information can be either an Area Of Interest in coarse granularity or Path of Interest in fine granularity, or both.",Standards specifications,Both Area Of Interest in coarse granularity and Path of Interest in fine granularity
What are the supported functionality of the RN? [3GPP Release 17],"RRC, NAS, and physical layer functionality",S1 and X2 protocol termination,Serving UEs and NNSF support,Configuration and reconfiguration of RN subframe,"option 1: RRC, NAS, and physical layer functionality","The RN supports a subset of the UE functionality, including RRC, NAS, and physical layer functionality.",Standards specifications,Inter-cell handover
What is the definition of OTA occupied bandwidth? [3GPP Release 18],The measure of the difference between the actual SAN transmit frequency and the assigned frequency.,The difference between the power of an RE and the average RE power for a SAN at maximum output power.,The difference between the maximum and the minimum transmit power of an OFDM symbol for a specified reference condition.,"The width of a frequency band such that, below the lower and above the upper frequency limits, the mean powers emitted are each equal to a specified percentage of the total mean transmitted power.","option 4: The width of a frequency band such that, below the lower and above the upper frequency limits, the mean powers emitted are each equal to a specified percentage of the total mean transmitted power.","The OTA occupied bandwidth is the width of a frequency band such that, below the lower and above the upper frequency limits, the mean powers emitted are each equal to a specified percentage of the total mean transmitted power.",Standards specifications,The ratio of the filtered mean power centered on the assigned channel frequency to the filtered mean power centered on an adjacent channel frequency.
What is considered for evaluation purpose in the energy consumption modeling for a BS? [3GPP Release 18],Multiple power state(s),Reference configuration,Scaling method,All of the above,option 4: All of the above,"The energy consumption modeling for a BS for evaluation purpose includes reference configuration, multiple power state(s), and scaling method.",Standards specifications,
What is the purpose of the Signalling gateway function? [3GPP Release 17],To interconnect different signalling networks,To provide voice and other CS-domain services,To support charging and billing mechanisms,To facilitate communications with packet data networks and applications,option 1: To interconnect different signalling networks,The Signalling gateway function is used to interconnect different signalling networks.,Standards specifications,To enable Proximity-based Services
What is the purpose of the extended work item on 8K Television over 5G? [3GPP Release 17],To define HEVC-based 8K TV operation point and media decoding capabilities,To improve the distribution of 8K TV content with 5G,To support higher decoding capabilities in TV and mobile device,To specify ISO BMFF encapsulation and DASH signalling for 8K TV,option 1: To define HEVC-based 8K TV operation point and media decoding capabilities,The work item specifies an HEVC-based 8K TV operation point in TS 26.116 and the corresponding media decoding capabilities for 5GMS in TS 26.511.,Standards overview,To conduct trials and produce content in 8K
"In supporting an MA PDU Session, what does Rel-17 enable in terms of 3GPP access over EPC? [3GPP Release 17]",Direct connection of 3GPP access to 5GC,Establishment of user-plane resources over EPC,Use of NG-RAN access for all user-plane traffic,Exclusive use of a non-3GPP access for user-plane traffic,option 2: Establishment of user-plane resources over EPC,"Rel-17 enables the establishment of user-plane resources over EPC for 3GPP access in supporting an MA PDU Session, allowing for simultaneous traffic over EPC and non-3GPP access.",Standards overview,
What is the purpose of the NG-C interface in the NG-RAN architecture? [3GPP Release 18],Transport of user plane data towards the UPF,Transport of control plane information towards the AMF,Transport of NAS messages,Configuration transfer,option 2: Transport of control plane information towards the AMF,The NG-C interface is defined between the NG-RAN node and the AMF and provides functions such as transport of control plane information towards the AMF.,Standards specifications,UE mobility management
What are the system properties required for 5G systems to be suitable for automation in vertical domains? [3GPP Release 19],"Reliability, availability, and maintainability","Flexibility, safety, and integrity","Dependability, reliability, and maintainability","Availability, safety, and integrity","option 5: Reliability, availability, maintainability, safety, and integrity","To be suitable for automation in vertical domains, 5G systems need to come with system properties of reliability, availability, maintainability, safety, and integrity.",Standards specifications,"Reliability, availability, maintainability, safety, and integrity"
What is the format of the UE Radio Capability ID? [3GPP Release 16],It includes a Vendor ID,It includes a Version ID,It includes both Vendor ID and Version ID,It does not include any IDs,option 3: It includes both Vendor ID and Version ID,The UE Radio Capability ID format includes both a Vendor ID and a Version ID.,Standards overview,
Which feature in Rel-16 allows transmission of uplink data payload using preconfigured uplink resources? [3GPP Release 16],UE-group wake-up signals (GWUS),Mobile-terminated early data transmission (MT-EDT),Support for Preconfigured uplink resources (PUR) in idle mode,Scheduling of multiple DL/UL transport blocks with single DCI,option 3: Support for Preconfigured uplink resources (PUR) in idle mode,The feature Support for Preconfigured uplink resources (PUR) in idle mode allows transmission of uplink data payload using preconfigured uplink resources.,Standards overview,Presence of NRS on a non-anchor carrier for paging
What is the purpose of contention window adjustment procedures for UL transmissions? [3GPP Release 17],To increase the contention window size for a specific priority class,To increase the contention window size for all priority classes,To decrease the contention window size for all priority classes,To adjust the contention window size for a specific priority class,option 5: To adjust the contention window size for all priority classes,The purpose of contention window adjustment procedures for UL transmissions is to adjust the contention window size for all priority classes.,Standards specifications,To adjust the contention window size for all priority classes
What is the release condition for SIPTO@LN PDN connection after handover with a stand-alone gateway? [3GPP Release 17],The eNB triggers the release over the S5 interface,The MME sends a release command to the eNB,The collocated S-GW releases the connection,The UE initiates the release procedure,option 5: The SIPTO@LN PDN connection is not released after handover,"In case of a handover with a stand-alone gateway, the SIPTO@LN PDN connection is not released after handover unless the source and target eNBs are in the same LHN (i.e. they have the same LHN ID).",Standards specifications,The SIPTO@LN PDN connection is not released after handover
What is EC-GSM-IoT? [3GPP Release 14],An extended version of EGPRS,A new radio interface for Cellular IoT,A low-power version of GPRS/EGPRS,An enhanced version of GPRS,option 1: An extended version of EGPRS,"EC-GSM-IoT is an evolution of EGPRS, providing a streamlined protocol implementation with extended coverage and energy efficient operation.",Standards overview,
What does the term 'user perception' refer to in the context of downlink parallel transfer of the same content via broadcast/multicast and/or unicast? [3GPP Release 17],User satisfaction with the delivered content.,The difference in delay of typically less than 20 ms between receivers in a given area.,The quality level (i.e. video resolution) of broadcast/multicast content.,The capability of the UE to receive content via a broadcast/multicast radio carrier.,option 2: The difference in delay of typically less than 20 ms between receivers in a given area.,'User perception' refers to the difference in delay of typically less than 20 ms between receivers in a given area when receiving the same content via broadcast/multicast and/or unicast.,Standards specifications,The availability of the broadcast/multicast service.
What does the UE do if it receives an RRC message on DCCH or CCCH that does not include a mandatory field? [3GPP Release 17],Ignore the message,Treat the list as if the entry including the missing or not comprehended field was absent,Consider the 'parent' field to be set to a not comprehended value,Apply the generic error handling to the subsequent 'parent' field(s),option 1: Ignore the message,The behavior of the UE when receiving an RRC message on DCCH or CCCH that does not include a mandatory field is unspecified.,Standards specifications,
How does a UE determine the number of PSFCH resources available for multiplexing control information? [3GPP Release 17],Based on sl-PSFCH-Occasion,Based on sl-PSFCH-Period,Based on sl-PSFCH-CandidateResourceType,Based on sl-NumMuxCS-Pair,option 4: Based on sl-NumMuxCS-Pair,A UE determines the number of PSFCH resources available for multiplexing control information based on sl-NumMuxCS-Pair.,Standards specifications,
What is the purpose of the MARCOM feature? [3GPP Release 16],To correct inconsistencies and clarify ambiguities,To enhance the performance of LTE in high-speed scenarios,To specify UE RRM requirements and demodulation requirements for high-speed train scenarios,To enable maritime communication services to be supported over 3GPP systems,option 4: To enable maritime communication services to be supported over 3GPP systems,The MARCOM feature introduces service requirements to enable maritime communication services to be supported over 3GPP systems.,Standards overview,To support the specific communication needs of railways
What is the average cable loss per meter at 48.2 GHz? [3GPP Release 18],0.33 dB,0.725 m,6 dB,43.5 GHz,option 1: 0.33 dB,The average cable loss per meter at 48.2 GHz is 0.33 dB.,Standards specifications,
What is required for SRS bandwidth aggregation from RRM perspective? [3GPP Release 18],Different numerology for different carriers to be aggregated.,Same slot and symbol for SRS resources from different carriers to be aggregated.,Different TRP for SRS resources from different carriers to be aggregated.,Different Antenna Reference Point (ARP) for SRS resources from different carriers to be aggregated.,option 2: Same slot and symbol for SRS resources from different carriers to be aggregated.,"From RRM perspective, SRS resources to be aggregated from different carriers should be transmitted in the same slot and in the same symbols.",Standards specifications,Different bandwidths for SRS resources from different carriers to be aggregated.
What is the purpose of N19-based traffic forwarding? [3GPP Release 18],To forward UL/DL traffic for 5G VN communication,"To handle unicast, broadcast, and multicast communication",To serve as a common PSA UPF for different PDU Sessions,To realize traffic routing for multiple SMF Sets,option 1: To forward UL/DL traffic for 5G VN communication,N19-based traffic forwarding is used to forward the UL/DL traffic for the communication of a 5G VN group between PSA UPFs of different PDU Sessions.,Standards specifications,To establish user plane tunnels between different SMFs
What can the NW configure for NES-capable UEs? [3GPP Release 18],Priority of other UEs,Down-prioritization of other UEs,Specific NES cell(s) prioritization/down-prioritization on a specific frequency,Both option 1 and option 2,option 3: Specific NES cell(s) prioritization/down-prioritization on a specific frequency,The NW can configure NES-capable UEs to prioritize/down-prioritize specific NES cell(s) on a specific frequency.,Standards specifications,
What is the polarization of a single polarized antenna? [3GPP Release 17],Horizontal polarization,Vertical polarization,Circular polarization,Dual polarization,option 2: Vertical polarization,The document mentions that a single polarized antenna is purely vertically polarized.,Standards specifications,
"In Rel-17, enhancements are made to several SEAL services. Which of the following is NOT an enhancement to SEAL services in Rel-17? [3GPP Release 17]",Support for external group Id and group fetch procedure,Support for management of 5G VN groups,Support for temporary groups in a VAL system,Support for enhanced Service Enabler Architecture Layer (SEAL),option 4: Support for enhanced Service Enabler Architecture Layer (SEAL),"The question is asking for the enhancement that is NOT made to SEAL services in Rel-17. Option 4, Support for enhanced Service Enabler Architecture Layer (SEAL), is incorrect because SEAL itself was already specified in Rel-16. The other options, options 1-3 and 5, are the enhancements made to SEAL services in Rel-17.",Standards overview,Support for location criteria in group creation
